id_reserva,data_reserva,id_cliente,roteiro,modalidade,n_pessoas,mes_viagem,valor_total_R$,custo_operacional_R$,canal_origem,status
RES056,2024-06-15,CLI057,Caminho Primitivo,Autoguiado,2,Junho,20222,12364,Indicação,Concluída
RES057,2024-06-15,CLI058,Caminho Português,Autoguiado,6,Agosto,9828,6321,Instagram,Concluída
RES058,2024-03-22,CLI055,Caminho Primitivo,Autoguiado,6,Dezembro,24169,14577,Instagram,Concluída
RES059,2024-02-14,CLI060,Caminho Português,Autoguiado,1,Julho,25728,16115,Indicação,Concluída
RES060,2022-10-14,CLI060,Caminho Francês,Autoguiado,1,Setembro,6241,3864,Instagram,Concluída
RES061,2024-04-12,CLI062,Caminho Português,Guiado,4,Abril,18400,11200,Instagram,Concluída
RES062,2023-05-14,CLI063,Caminho Francês,Autoguiado,2,Maio,7900,4300,Google,Concluída
RES063,2025-03-12,CLI064,Caminho Francês,Guiado,1,Junho,43600,26800,Indicação,Concluída
RES064,2024-04-12,CLI060,Caminho do Norte,Guiado,2,Outubro,22000,13500,YouTube,Concluída
RES065,2024-03-22,CLI066,Caminho Português,Autoguiado,6,Setembro,6200,3800,Google,Concluída
RES066,2024-04-12,CLI060,Via Francigena,Autoguiado,2,Maio,9200,5600,Instagram,Concluída
RES067,2024-03-22,CLI068,Caminho do Norte,Guiado,3,Junho,65400,40200,Indicação,Concluída
RES068,2025-05-14,CLI069,Caminho Francês,Autoguiado,2,Julho,11800,7100,WhatsApp,Concluída
RES069,2024-03-22,CLI070,Caminho Primitivo,Guiado,1,Setembro,27900,17200,Instagram,Concluída
RES070,2024-03-22,CLI071,Via Francigena,Guiado,2,Outubro,21600,13000,Google,Concluída
RES071,2024-03-22,CLI072,Caminho Francês,Autoguiado,4,Agosto,4613,2922,Instagram,Concluída
RES072,2024-03-22,CLI060,Caminho Primitivo,Autoguiado,4,Setembro,8538,5340,Indicação,Concluída
RES073,2025-03-24,CLI074,Caminho Francês,Autoguiado,3,Junho,18062,11370,Google,Concluída
RES074,2024-03-22,CLI075,Via Francigena,Autoguiado,1,Junho,17117,10901,WhatsApp,Concluída
RES075,2023-05-14,CLI075,Caminho Português,Autoguiado,3,Setembro,12847,7843,Instagram,Concluída
RES076,2022-03-14,CLI075,Caminho do Norte,Guiado,3,Julho,10843,7039,Instagram,Concluída
RES077,2024-03-22,CLI078,Caminho Português,Autoguiado,2,Dezembro,12740,8264,Indicação,Concluída
RES078,2022-03-14,CLI075,Caminho Francês,Guiado,6,Julho,28099,18100,WhatsApp,Concluída
RES079,2024-03-22,CLI080,Caminho Francês,Guiado,4,Julho,19922,12459,Google,Concluída
RES080,2024-03-22,CLI081,Via Francigena,Guiado,3,Julho,55511,34670,Indicação,Concluída
RES081,2024-03-22,CLI082,Caminho Primitivo,Autoguiado,2,Setembro,15617,9533,Google,Concluída
RES082,2024-06-12,CLI083,Caminho Francês,Autoguiado,3,Agosto,11816,7559,YouTube,Concluída
RES083,2024-03-22,CLI084,Caminho Francês,Guiado,6,Agosto,20700,12962,WhatsApp,Concluída
RES084,2023-05-14,CLI085,Caminho do Norte,Guiado,5,Junho,27211,17347,Indicação,Concluída
RES085,2024-03-22,CLI087,Caminho Português,Guiado,2,Setembro,53437,33176,Instagram,Concluída
RES086,2024-03-22,CLI087,Via Francigena,Autoguiado,6,Junho,20222,12364,Indicação,Concluída
RES087,2024-03-22,CLI087,Caminho do Norte,Autoguiado,6,Agosto,9828,6321,Instagram,Concluída
RES088,2022-03-14,CLI087,Caminho Francês,Autoguiado,1,Dezembro,24169,14577,Instagram,Concluída
RES089,2024-03-22,CLI087,Caminho Primitivo,Autoguiado,3,Julho,25728,16115,Indicação,Concluída
RES090,2023-04-12,CLI091,Via Francigena,Autoguiado,6,Setembro,6241,3864,Instagram,Concluída
RES091,2022-09-14,CLI092,Caminho Francês,Autoguiado,5,Abril,18400,11200,Instagram,Concluída
RES092,2024-03-22,CLI093,Caminho Primitivo,Autoguiado,2,Maio,7900,4300,Google,Concluída
RES093,2024-05-18,CLI094,Caminho Francês,Guiado,6,Junho,43600,26800,Indicação,Concluída
RES094,2024-06-15,CLI095,Via Francigena,Autoguiado,6,Outubro,22000,13500,YouTube,Concluída
RES095,2024-06-14,CLI095,Caminho do Norte,Guiado,1,Setembro,6200,3800,Google,Concluída
RES096,2024-03-22,CLI095,Caminho Francês,Guiado,1,Maio,9200,5600,Instagram,Concluída
RES097,2024-05-15,CLI095,Caminho Primitivo,Guiado,4,Junho,65400,40200,Indicação,Concluída
RES098,2024-04-12,CLI099,Via Francigena,Autoguiado,2,Julho,11800,7100,WhatsApp,Concluída
RES099,2024-06-15,CLI100,Caminho Francês,Autoguiado,1,Setembro,27900,17200,Instagram,Concluída
RES100,2025-03-14,CLI101,Caminho Primitivo,Autoguiado,2,Outubro,21600,13000,Google,Concluída
